"Title";"Seed";"Leech";"Poidsdutorrent";"date";"Categories";"Genre";"Plot"
"Shameless (US) Saison 6 FRENCH HDTV";"43";"85";"6.38GB";"14/01/2020";"Séries";"VF";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
"Shameless (US) Saison 5 FRENCH HDTV";"47";"69";"5.77GB";"14/01/2020";"Séries";"VF";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
"Shameless (US) Saison 4 FRENCH HDTV";"28";"71";"4.98GB";"14/01/2020";"Séries";"VF";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
"Shameless (US) Saison 3 FRENCH HDTV";"44";"76";"6.46GB";"14/01/2020";"Séries";"VF";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
"Shameless (US) Saison 2 FRENCH HDTV";"49";"56";"6.45GB";"14/01/2020";"Séries";"VF";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
"Shameless (US) Saison 1 FRENCH HDTV";"91";"51";"5.27GB";"14/01/2020";"Séries";"VF";"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales... Remake de la série anglaise du même nom : Shameless."
"Endlings S01E01 VOSTFR HDTV";"113";"10";"172.44MB";"14/01/2020";"Séries";"VOSTFR";"Quatre adolescents rencontrent un extra-terrestre, échoué sur terre, alors qu'il essaie de collecter toutes les espèces animales vivantes avant qu'elles ne disparaissent. "
"Fugueuse S02E02 FRENCH HDTV";"148";"9";"334.17MB";"14/01/2020";"Séries";"VF";"Une adolescente de la classe moyenne qui a pour projet de partir vivre à New York est recrutée via internet par un réseau de proxénètes..."
"En tout cas S03E02 FRENCH HDTV";"45";"0";"170.6MB";"14/01/2020";"Séries";"VF";"Qui n’a jamais entendu sa mère signifier son désaccord en répliquant simplement « en tout cas »? En tout cas, c’est aussi le titre d’une comédie qui nous fait découvrir la relation tendre, houleuse et franchement comique entre une mère, Danielle et ses deux enfants, Chloé et Fred, qu’elle vient tout juste de rejoindre à Montréal, où ils vivent depuis déjà douze ans.  Graviteront autour d’eux d’autres personnages – Claudette, la mère de Danielle, Simon, l’ancien chum de Chloé devenu meilleur ami, Jim, l’excentrique professeur d’université de Danielle, Sophie, la blonde Fred, Marie, la voisine de Danielle qui a un (très beau) fils de l’âge de Chloé, Hélène, la sœur de Danielle qui entretient une relation idyllique avec sa fille Alexandra… Tout ce beau monde s’épaulera au travers des petites et grandes joies de la vie et des défis personnels et professionnels, avec d’innombrables conseils souvent non sollicités, mais parfois excellents et, toujours, beaucoup d’humour."
"S.W.A.T. S03E10 VOSTFR HDTV";"292";"25";"369.58MB";"14/01/2020";"Séries";"VOSTFR";"Un lieutenant du S.W.A.T est tiraillé entre sa loyauté envers ses origines modestes, dont ses amis de la rue avec qui il a grandi et qui n'ont pas aussi bien tourné que lui, et son devoir envers ses co-équipiers..."
